Loaded problem from /home/jordan/antoine/cuADMM/examples/pendulum/TXT/N=80_licols/
              vector length: 131945
      number of constraints: 112028
           number of blocks: 239
  number of non-zeros in At: 278569
   number of non-zeros in b: 1
   number of non-zeros in C: 646

Analysis of the blk vector:
      159 matrices of size  10 (small)
       80 matrices of size  55 (large)

Analysis of the large matrices sizes:
    size of large matrices:  55 
  number of large matrices:  80 
    total size of large matrices: 242000
  sum of sizes of large matrices: 4400
    nb large (with multiplicity): 80
  large matrices start indices: 0 242000 

Analysis of the small matrices sizes:
    size of small matrices:  10 
  number of small matrices: 159 
    total size of small matrices: 15900
  sum of sizes of small matrices: 1590
    nb small (with multiplicity): 159
  small matrices start indices: 0 15900 

 -------------------------------------------------------------------------------
                                    cuADMM
 -------------------------------------------------------------------------------
 norm of C = 1.2e+00, norm of b = 2.0e+00

  it. | p infeas d infeas | primal obj.   dual obj. rel. gap |  time |   sigma | 
 4100 | 4.87e-12 7.03e-04 |  2.3489e+00  2.3805e+00 5.51e-03 | 104.9 | 7.4e+00 |
 4200 | 5.03e-12 6.86e-04 |  2.3462e+00  2.3787e+00 5.68e-03 | 107.5 | 7.8e+00 |
 4300 | 5.29e-12 6.68e-04 |  2.3436e+00  2.3769e+00 5.83e-03 | 110.0 | 8.1e+00 |
 4400 | 5.68e-12 6.50e-04 |  2.3408e+00  2.3748e+00 5.94e-03 | 112.6 | 8.6e+00 |
 4500 | 5.91e-12 6.30e-04 |  2.3380e+00  2.3727e+00 6.07e-03 | 115.2 | 9.0e+00 |
 4600 | 6.16e-12 6.09e-04 |  2.3352e+00  2.3705e+00 6.17e-03 | 117.7 | 9.4e+00 |
 4700 | 6.56e-12 5.88e-04 |  2.3325e+00  2.3681e+00 6.26e-03 | 120.3 | 9.9e+00 |
 4800 | 6.73e-12 5.65e-04 |  2.3297e+00  2.3658e+00 6.33e-03 | 122.9 | 1.0e+01 |
 4900 | 7.32e-12 4.68e-04 |  2.3282e+00  2.3625e+00 6.02e-03 | 125.4 | 1.1e+01 |
 5000 | 7.48e-12 4.45e-04 |  2.3284e+00  2.3601e+00 5.57e-03 | 128.0 | 1.1e+01 |
 5100 | 7.93e-12 4.23e-04 |  2.3287e+00  2.3578e+00 5.11e-03 | 130.5 | 1.2e+01 |
 5200 | 8.66e-12 4.02e-04 |  2.3290e+00  2.3555e+00 4.66e-03 | 133.1 | 1.3e+01 |
 5300 | 8.75e-12 3.83e-04 |  2.3294e+00  2.3535e+00 4.23e-03 | 135.6 | 1.3e+01 |
 5400 | 9.37e-12 3.65e-04 |  2.3299e+00  2.3516e+00 3.82e-03 | 138.2 | 1.4e+01 |
 5500 | 9.63e-12 3.49e-04 |  2.3303e+00  2.3498e+00 3.44e-03 | 140.8 | 1.5e+01 |
 5600 | 1.00e-11 3.35e-04 |  2.3307e+00  2.3483e+00 3.09e-03 | 143.3 | 1.5e+01 |
 5700 | 1.10e-11 3.21e-04 |  2.3311e+00  2.3468e+00 2.77e-03 | 145.9 | 1.6e+01 |
 5800 | 1.14e-11 3.09e-04 |  2.3315e+00  2.3455e+00 2.47e-03 | 148.5 | 1.7e+01 |
 5900 | 1.19e-11 2.97e-04 |  2.3319e+00  2.3444e+00 2.20e-03 | 151.0 | 1.8e+01 |
 6000 | 1.22e-11 2.87e-04 |  2.3322e+00  2.3433e+00 1.95e-03 | 153.6 | 1.9e+01 |
 6100 | 1.26e-11 2.77e-04 |  2.3325e+00  2.3423e+00 1.72e-03 | 156.1 | 2.0e+01 |
 6200 | 1.35e-11 2.67e-04 |  2.3328e+00  2.3413e+00 1.50e-03 | 158.7 | 2.1e+01 |
 6300 | 1.40e-11 2.58e-04 |  2.3331e+00  2.3404e+00 1.29e-03 | 161.3 | 2.2e+01 |
 6400 | 1.49e-11 2.49e-04 |  2.3334e+00  2.3396e+00 1.10e-03 | 163.8 | 2.3e+01 |
 6500 | 1.62e-11 2.41e-04 |  2.3335e+00  2.3388e+00 9.19e-04 | 166.4 | 2.4e+01 |
 6600 | 1.64e-11 2.32e-04 |  2.3338e+00  2.3379e+00 7.35e-04 | 169.0 | 2.5e+01 |
 6700 | 1.74e-11 2.23e-04 |  2.3340e+00  2.3371e+00 5.51e-04 | 171.5 | 2.6e+01 |
 6800 | 1.80e-11 2.15e-04 |  2.3342e+00  2.3361e+00 3.49e-04 | 174.1 | 2.8e+01 |
 6900 | 1.96e-11 2.06e-04 |  2.3344e+00  2.3352e+00 1.42e-04 | 176.6 | 2.9e+01 |
 7000 | 1.99e-11 1.97e-04 |  2.3346e+00  2.3343e+00 5.29e-05 | 179.2 | 3.0e+01 |
 7100 | 2.08e-11 1.88e-04 |  2.3348e+00  2.3334e+00 2.49e-04 | 181.8 | 3.2e+01 |
 7200 | 2.38e-11 1.79e-04 |  2.3351e+00  2.3326e+00 4.43e-04 | 184.3 | 3.4e+01 |
 7300 | 2.36e-11 1.69e-04 |  2.3353e+00  2.3317e+00 6.37e-04 | 186.9 | 3.5e+01 |
 7400 | 2.49e-11 1.60e-04 |  2.3356e+00  2.3309e+00 8.34e-04 | 189.5 | 3.7e+01 |
 7500 | 2.64e-11 1.51e-04 |  2.3359e+00  2.3300e+00 1.03e-03 | 192.0 | 3.9e+01 |
 7600 | 2.75e-11 1.41e-04 |  2.3361e+00  2.3291e+00 1.24e-03 | 194.6 | 4.1e+01 |
 7700 | 2.83e-11 1.31e-04 |  2.3364e+00  2.3283e+00 1.44e-03 | 197.1 | 4.3e+01 |
 7800 | 3.06e-11 1.21e-04 |  2.3367e+00  2.3274e+00 1.66e-03 | 199.7 | 4.5e+01 |
