Loaded problem from /home/jordan/antoine/cuADMM/examples/pendulum/TXT/N=80_licols/
              vector length: 131945
      number of constraints: 112028
           number of blocks: 239
  number of non-zeros in At: 278569
   number of non-zeros in b: 1
   number of non-zeros in C: 646

Analysis of the blk vector:
      159 matrices of size  10 (small)
       80 matrices of size  55 (large)

Analysis of the large matrices sizes:
    size of large matrices:  55 
  number of large matrices:  80 
    total size of large matrices: 242000
  sum of sizes of large matrices: 4400
    nb large (with multiplicity): 80
  large matrices start indices: 0 242000 

Analysis of the small matrices sizes:
    size of small matrices:  10 
  number of small matrices: 159 
    total size of small matrices: 15900
  sum of sizes of small matrices: 1590
    nb small (with multiplicity): 159
  small matrices start indices: 0 15900 

 -------------------------------------------------------------------------------
                                    cuADMM
 -------------------------------------------------------------------------------
 norm of C = 1.2e+00, norm of b = 2.0e+00

  it. | p infeas d infeas | primal obj.   dual obj. rel. gap |  time |   sigma | 
 17600 | 1.36e-04 2.35e-04 |  2.3229e+00  2.3296e+00 1.18e-03 | 433.9 | 1.0e+00 |
 17700 | 1.77e-04 1.88e-04 |  2.3228e+00  2.3296e+00 1.21e-03 | 436.2 | 1.7e+00 |
 17800 | 2.45e-04 1.23e-04 |  2.3227e+00  2.3296e+00 1.22e-03 | 438.5 | 1.7e+00 |
 17900 | 2.44e-04 8.58e-05 |  2.3227e+00  2.3292e+00 1.14e-03 | 440.8 | 1.0e+00 |
 18000 | 2.12e-04 1.49e-04 |  2.3228e+00  2.3291e+00 1.11e-03 | 443.1 | 6.0e-01 |
 18100 | 1.76e-04 2.80e-04 |  2.3229e+00  2.3288e+00 1.05e-03 | 445.4 | 3.6e-01 |
 18200 | 1.45e-04 3.14e-04 |  2.3229e+00  2.3283e+00 9.50e-04 | 447.8 | 6.0e-01 |
 18300 | 1.53e-04 2.66e-04 |  2.3230e+00  2.3284e+00 9.51e-04 | 450.1 | 1.0e+00 |
 18400 | 2.18e-04 1.89e-04 |  2.3231e+00  2.3285e+00 9.55e-04 | 452.4 | 1.7e+00 |
 18500 | 2.76e-04 1.13e-04 |  2.3231e+00  2.3287e+00 9.85e-04 | 454.7 | 1.7e+00 |
 18600 | 2.62e-04 7.22e-05 |  2.3231e+00  2.3288e+00 1.01e-03 | 457.0 | 1.0e+00 |
 18700 | 2.22e-04 1.49e-04 |  2.3230e+00  2.3289e+00 1.03e-03 | 459.3 | 6.0e-01 |
 18800 | 1.79e-04 2.74e-04 |  2.3230e+00  2.3288e+00 1.03e-03 | 461.6 | 3.6e-01 |
 18900 | 1.40e-04 3.25e-04 |  2.3229e+00  2.3289e+00 1.05e-03 | 463.8 | 6.0e-01 |
 19000 | 1.26e-04 3.06e-04 |  2.3228e+00  2.3291e+00 1.11e-03 | 466.0 | 1.0e+00 |
 19100 | 1.95e-04 2.44e-04 |  2.3226e+00  2.3292e+00 1.17e-03 | 468.1 | 1.7e+00 |
 19200 | 2.96e-04 1.08e-04 |  2.3225e+00  2.3288e+00 1.12e-03 | 470.3 | 1.7e+00 |
 19300 | 2.56e-04 1.21e-04 |  2.3225e+00  2.3280e+00 9.72e-04 | 472.5 | 1.0e+00 |
 19400 | 2.21e-04 1.34e-04 |  2.3226e+00  2.3289e+00 1.13e-03 | 474.7 | 6.0e-01 |
 19500 | 1.81e-04 2.66e-04 |  2.3225e+00  2.3288e+00 1.10e-03 | 476.8 | 3.6e-01 |
 19600 | 1.42e-04 3.12e-04 |  2.3226e+00  2.3286e+00 1.06e-03 | 479.0 | 6.0e-01 |
 19700 | 1.37e-04 2.74e-04 |  2.3226e+00  2.3287e+00 1.07e-03 | 481.2 | 1.0e+00 |
 19800 | 2.02e-04 2.02e-04 |  2.3226e+00  2.3288e+00 1.10e-03 | 483.4 | 1.7e+00 |
 19900 | 2.70e-04 1.16e-04 |  2.3226e+00  2.3292e+00 1.17e-03 | 485.6 | 1.7e+00 |
 20000 | 2.51e-04 8.89e-05 |  2.3226e+00  2.3289e+00 1.12e-03 | 487.8 | 1.0e+00 |
 20100 | 2.08e-04 1.58e-04 |  2.3226e+00  2.3291e+00 1.15e-03 | 489.9 | 6.0e-01 |
 20200 | 1.66e-04 2.57e-04 |  2.3226e+00  2.3293e+00 1.20e-03 | 492.1 | 3.6e-01 |
 20300 | 1.28e-04 2.99e-04 |  2.3225e+00  2.3295e+00 1.24e-03 | 494.3 | 6.0e-01 |
 20400 | 1.16e-04 2.79e-04 |  2.3225e+00  2.3297e+00 1.27e-03 | 496.5 | 1.0e+00 |
 20500 | 1.80e-04 2.22e-04 |  2.3224e+00  2.3298e+00 1.31e-03 | 498.7 | 1.7e+00 |
 20600 | 2.78e-04 1.00e-04 |  2.3222e+00  2.3295e+00 1.29e-03 | 500.8 | 1.7e+00 |
 20700 | 2.43e-04 1.16e-04 |  2.3223e+00  2.3286e+00 1.12e-03 | 503.0 | 1.0e+00 |
 20800 | 2.07e-04 1.34e-04 |  2.3224e+00  2.3295e+00 1.26e-03 | 505.2 | 6.0e-01 |
 20900 | 1.67e-04 2.59e-04 |  2.3224e+00  2.3294e+00 1.25e-03 | 507.4 | 3.6e-01 |
 21000 | 1.30e-04 3.00e-04 |  2.3224e+00  2.3292e+00 1.20e-03 | 509.6 | 6.0e-01 |
 21100 | 1.27e-04 2.62e-04 |  2.3225e+00  2.3293e+00 1.21e-03 | 511.7 | 1.0e+00 |
 21200 | 1.92e-04 1.92e-04 |  2.3226e+00  2.3294e+00 1.20e-03 | 513.9 | 1.7e+00 |
 21300 | 2.54e-04 1.15e-04 |  2.3226e+00  2.3296e+00 1.24e-03 | 516.1 | 1.7e+00 |
 21400 | 2.42e-04 7.16e-05 |  2.3227e+00  2.3296e+00 1.23e-03 | 518.3 | 1.0e+00 |
 21500 | 2.04e-04 1.42e-04 |  2.3227e+00  2.3298e+00 1.26e-03 | 520.5 | 6.0e-01 |
 21600 | 1.62e-04 2.54e-04 |  2.3227e+00  2.3299e+00 1.28e-03 | 522.6 | 3.6e-01 |
 21700 | 1.22e-04 3.01e-04 |  2.3227e+00  2.3300e+00 1.29e-03 | 524.8 | 6.0e-01 |
 21800 | 1.06e-04 2.83e-04 |  2.3226e+00  2.3300e+00 1.31e-03 | 527.0 | 1.0e+00 |
 21900 | 1.77e-04 2.25e-04 |  2.3226e+00  2.3301e+00 1.33e-03 | 529.2 | 1.7e+00 |
 22000 | 2.78e-04 1.03e-04 |  2.3225e+00  2.3298e+00 1.29e-03 | 531.3 | 1.7e+00 |
 22100 | 2.46e-04 1.13e-04 |  2.3226e+00  2.3289e+00 1.11e-03 | 533.5 | 1.0e+00 |
 22200 | 2.09e-04 1.31e-04 |  2.3227e+00  2.3297e+00 1.24e-03 | 535.7 | 6.0e-01 |
 22300 | 1.66e-04 2.61e-04 |  2.3227e+00  2.3295e+00 1.20e-03 | 537.8 | 3.6e-01 |
 22400 | 1.26e-04 3.05e-04 |  2.3227e+00  2.3294e+00 1.18e-03 | 540.0 | 6.0e-01 |
 22500 | 1.21e-04 2.70e-04 |  2.3228e+00  2.3297e+00 1.22e-03 | 542.2 | 1.0e+00 |
 22600 | 1.89e-04 1.99e-04 |  2.3228e+00  2.3298e+00 1.23e-03 | 544.4 | 1.7e+00 |
 22700 | 2.58e-04 1.17e-04 |  2.3228e+00  2.3302e+00 1.30e-03 | 546.5 | 1.7e+00 |
 22800 | 2.44e-04 7.50e-05 |  2.3229e+00  2.3300e+00 1.26e-03 | 548.7 | 1.0e+00 |
 22900 | 2.05e-04 1.43e-04 |  2.3229e+00  2.3302e+00 1.29e-03 | 550.9 | 6.0e-01 |
 23000 | 1.62e-04 2.56e-04 |  2.3229e+00  2.3303e+00 1.32e-03 | 553.0 | 3.6e-01 |
 23100 | 1.19e-04 3.04e-04 |  2.3229e+00  2.3303e+00 1.32e-03 | 555.2 | 6.0e-01 |
 23200 | 1.01e-04 2.87e-04 |  2.3228e+00  2.3303e+00 1.33e-03 | 557.4 | 1.0e+00 |
 23300 | 1.74e-04 2.28e-04 |  2.3228e+00  2.3304e+00 1.35e-03 | 559.6 | 1.7e+00 |
 23400 | 2.98e-04 1.09e-04 |  2.3227e+00  2.3299e+00 1.28e-03 | 561.7 | 2.1e+00 |
 23500 | 2.63e-04 1.06e-04 |  2.3228e+00  2.3291e+00 1.11e-03 | 563.9 | 1.3e+00 |
 23600 | 2.30e-04 1.02e-04 |  2.3228e+00  2.3300e+00 1.27e-03 | 566.1 | 7.7e-01 |
 23700 | 1.82e-04 2.06e-04 |  2.3228e+00  2.3298e+00 1.23e-03 | 568.2 | 4.6e-01 |
 23800 | 1.35e-04 2.50e-04 |  2.3228e+00  2.3297e+00 1.21e-03 | 570.4 | 7.7e-01 |
 23900 | 1.19e-04 2.24e-04 |  2.3228e+00  2.3300e+00 1.26e-03 | 572.6 | 1.3e+00 |
 24000 | 1.86e-04 1.65e-04 |  2.3228e+00  2.3301e+00 1.29e-03 | 574.7 | 2.1e+00 |
 24100 | 2.04e-04 9.92e-05 |  2.3228e+00  2.3303e+00 1.33e-03 | 576.9 | 1.3e+00 |
 24200 | 1.85e-04 7.29e-05 |  2.3228e+00  2.3305e+00 1.37e-03 | 579.1 | 7.7e-01 |
 24300 | 1.55e-04 1.41e-04 |  2.3228e+00  2.3307e+00 1.40e-03 | 581.2 | 4.6e-01 |
 24400 | 1.22e-04 2.21e-04 |  2.3228e+00  2.3308e+00 1.41e-03 | 583.4 | 4.6e-01 |
 24500 | 9.37e-05 2.33e-04 |  2.3228e+00  2.3306e+00 1.37e-03 | 585.6 | 7.7e-01 |
 24600 | 1.07e-04 2.03e-04 |  2.3228e+00  2.3304e+00 1.35e-03 | 587.8 | 1.3e+00 |
 24700 | 1.87e-04 1.49e-04 |  2.3228e+00  2.3304e+00 1.34e-03 | 589.9 | 2.1e+00 |
 24800 | 2.22e-04 8.39e-05 |  2.3228e+00  2.3301e+00 1.30e-03 | 592.1 | 1.3e+00 |
 24900 | 2.06e-04 8.61e-05 |  2.3228e+00  2.3297e+00 1.23e-03 | 594.3 | 7.7e-01 |
 25000 | 1.68e-04 1.95e-04 |  2.3228e+00  2.3295e+00 1.18e-03 | 596.4 | 4.6e-01 |
 25100 | 1.24e-04 2.37e-04 |  2.3229e+00  2.3294e+00 1.16e-03 | 598.6 | 7.7e-01 |
 25200 | 1.13e-04 2.08e-04 |  2.3229e+00  2.3296e+00 1.19e-03 | 600.8 | 1.3e+00 |
 25300 | 1.78e-04 1.51e-04 |  2.3229e+00  2.3298e+00 1.22e-03 | 603.0 | 2.1e+00 |
 25400 | 1.93e-04 9.00e-05 |  2.3229e+00  2.3300e+00 1.26e-03 | 605.1 | 1.3e+00 |
 25500 | 1.75e-04 7.05e-05 |  2.3229e+00  2.3303e+00 1.31e-03 | 607.3 | 7.7e-01 |
 25600 | 1.46e-04 1.37e-04 |  2.3229e+00  2.3305e+00 1.35e-03 | 609.5 | 4.6e-01 |
 25700 | 1.16e-04 2.14e-04 |  2.3229e+00  2.3305e+00 1.34e-03 | 611.7 | 4.6e-01 |
 25800 | 8.85e-05 2.27e-04 |  2.3229e+00  2.3304e+00 1.33e-03 | 613.8 | 7.7e-01 |
 25900 | 9.94e-05 1.99e-04 |  2.3229e+00  2.3304e+00 1.33e-03 | 616.0 | 1.3e+00 |
 26000 | 1.77e-04 1.47e-04 |  2.3228e+00  2.3303e+00 1.33e-03 | 618.2 | 2.1e+00 |
 26100 | 2.28e-04 7.67e-05 |  2.3228e+00  2.3300e+00 1.27e-03 | 620.4 | 1.7e+00 |
 26200 | 2.05e-04 8.93e-05 |  2.3229e+00  2.3294e+00 1.15e-03 | 622.5 | 1.0e+00 |
 26300 | 1.71e-04 1.43e-04 |  2.3229e+00  2.3298e+00 1.22e-03 | 624.7 | 6.0e-01 |
 26400 | 1.34e-04 2.19e-04 |  2.3229e+00  2.3293e+00 1.13e-03 | 626.9 | 6.0e-01 |
 26500 | 1.02e-04 2.17e-04 |  2.3230e+00  2.3295e+00 1.15e-03 | 629.1 | 1.0e+00 |
 26600 | 1.32e-04 1.71e-04 |  2.3230e+00  2.3297e+00 1.18e-03 | 631.2 | 1.7e+00 |
 26700 | 1.85e-04 1.13e-04 |  2.3230e+00  2.3298e+00 1.20e-03 | 633.4 | 1.7e+00 |
 26800 | 1.78e-04 6.42e-05 |  2.3230e+00  2.3301e+00 1.26e-03 | 635.6 | 1.0e+00 |
 26900 | 1.52e-04 9.93e-05 |  2.3230e+00  2.3302e+00 1.26e-03 | 637.8 | 6.0e-01 |
 27000 | 1.24e-04 1.79e-04 |  2.3230e+00  2.3303e+00 1.29e-03 | 639.9 | 3.6e-01 |
 27100 | 9.54e-05 2.16e-04 |  2.3230e+00  2.3304e+00 1.30e-03 | 642.1 | 6.0e-01 |
 27200 | 8.10e-05 2.06e-04 |  2.3230e+00  2.3303e+00 1.29e-03 | 644.3 | 1.0e+00 |
 27300 | 1.25e-04 1.66e-04 |  2.3230e+00  2.3303e+00 1.29e-03 | 646.5 | 1.7e+00 |
 27400 | 2.32e-04 1.01e-04 |  2.3230e+00  2.3299e+00 1.23e-03 | 648.6 | 2.8e+00 |
 27500 | 2.24e-04 7.97e-05 |  2.3230e+00  2.3294e+00 1.12e-03 | 650.8 | 1.7e+00 |
 27600 | 1.99e-04 7.76e-05 |  2.3231e+00  2.3296e+00 1.16e-03 | 653.0 | 1.0e+00 |
 27700 | 1.62e-04 1.49e-04 |  2.3231e+00  2.3298e+00 1.19e-03 | 655.2 | 6.0e-01 |
 27800 | 1.24e-04 2.20e-04 |  2.3231e+00  2.3293e+00 1.09e-03 | 657.3 | 6.0e-01 |
 27900 | 9.58e-05 2.15e-04 |  2.3231e+00  2.3296e+00 1.15e-03 | 659.5 | 1.0e+00 |
 28000 | 1.30e-04 1.70e-04 |  2.3231e+00  2.3297e+00 1.16e-03 | 661.7 | 1.7e+00 |
 28100 | 1.99e-04 1.11e-04 |  2.3231e+00  2.3298e+00 1.19e-03 | 663.9 | 2.1e+00 |
 28200 | 2.00e-04 6.41e-05 |  2.3231e+00  2.3299e+00 1.21e-03 | 666.1 | 1.3e+00 |
 28300 | 1.70e-04 9.72e-05 |  2.3231e+00  2.3299e+00 1.20e-03 | 668.2 | 7.7e-01 |
 28400 | 1.38e-04 1.62e-04 |  2.3231e+00  2.3301e+00 1.23e-03 | 670.4 | 4.6e-01 |
 28500 | 1.04e-04 1.91e-04 |  2.3231e+00  2.3302e+00 1.25e-03 | 672.6 | 7.7e-01 |
 28600 | 8.14e-05 1.80e-04 |  2.3230e+00  2.3303e+00 1.28e-03 | 674.7 | 1.3e+00 |
 28700 | 1.31e-04 1.42e-04 |  2.3230e+00  2.3302e+00 1.28e-03 | 676.9 | 2.1e+00 |
 28800 | 2.10e-04 8.51e-05 |  2.3229e+00  2.3300e+00 1.24e-03 | 679.1 | 2.1e+00 |
 28900 | 1.98e-04 7.66e-05 |  2.3229e+00  2.3295e+00 1.16e-03 | 681.3 | 1.3e+00 |
 29000 | 1.70e-04 9.93e-05 |  2.3230e+00  2.3296e+00 1.18e-03 | 683.4 | 7.7e-01 |
 29100 | 1.34e-04 1.86e-04 |  2.3230e+00  2.3297e+00 1.18e-03 | 685.6 | 4.6e-01 |
 29200 | 9.82e-05 2.13e-04 |  2.3230e+00  2.3293e+00 1.12e-03 | 687.8 | 7.7e-01 |
 29300 | 9.91e-05 1.84e-04 |  2.3231e+00  2.3296e+00 1.15e-03 | 690.0 | 1.3e+00 |
 29400 | 1.63e-04 1.31e-04 |  2.3231e+00  2.3296e+00 1.16e-03 | 692.2 | 2.1e+00 |
 29500 | 1.76e-04 7.76e-05 |  2.3231e+00  2.3298e+00 1.18e-03 | 694.3 | 1.3e+00 |
 29600 | 1.58e-04 6.70e-05 |  2.3231e+00  2.3299e+00 1.21e-03 | 696.5 | 7.7e-01 |
 29700 | 1.32e-04 1.31e-04 |  2.3231e+00  2.3300e+00 1.23e-03 | 698.7 | 4.6e-01 |
 29800 | 1.03e-04 2.02e-04 |  2.3231e+00  2.3300e+00 1.22e-03 | 700.9 | 4.6e-01 |
 29900 | 7.68e-05 2.13e-04 |  2.3230e+00  2.3300e+00 1.23e-03 | 703.0 | 7.7e-01 |
 30000 | 8.82e-05 1.87e-04 |  2.3230e+00  2.3300e+00 1.24e-03 | 705.2 | 1.3e+00 |
 30100 | 1.64e-04 1.39e-04 |  2.3230e+00  2.3300e+00 1.25e-03 | 707.4 | 2.1e+00 |
 30200 | 2.29e-04 7.73e-05 |  2.3229e+00  2.3295e+00 1.17e-03 | 709.6 | 2.1e+00 |
 30300 | 2.02e-04 7.49e-05 |  2.3230e+00  2.3291e+00 1.09e-03 | 711.8 | 1.3e+00 |
 30400 | 1.72e-04 1.04e-04 |  2.3230e+00  2.3298e+00 1.20e-03 | 713.9 | 7.7e-01 |
 30500 | 1.38e-04 1.87e-04 |  2.3230e+00  2.3292e+00 1.10e-03 | 716.1 | 4.6e-01 |
 30600 | 1.00e-04 2.17e-04 |  2.3230e+00  2.3293e+00 1.11e-03 | 718.3 | 7.7e-01 |
 30700 | 9.78e-05 1.89e-04 |  2.3230e+00  2.3295e+00 1.15e-03 | 720.5 | 1.3e+00 |
 30800 | 1.62e-04 1.36e-04 |  2.3231e+00  2.3296e+00 1.16e-03 | 722.6 | 2.1e+00 |
 30900 | 1.98e-04 7.78e-05 |  2.3231e+00  2.3299e+00 1.20e-03 | 724.8 | 1.7e+00 |
 31000 | 1.77e-04 7.17e-05 |  2.3231e+00  2.3296e+00 1.15e-03 | 727.0 | 1.0e+00 |
 31100 | 1.46e-04 1.21e-04 |  2.3231e+00  2.3298e+00 1.18e-03 | 729.2 | 6.0e-01 |
 31200 | 1.15e-04 1.74e-04 |  2.3231e+00  2.3298e+00 1.18e-03 | 731.3 | 6.0e-01 |
 31300 | 8.13e-05 1.82e-04 |  2.3231e+00  2.3300e+00 1.23e-03 | 733.5 | 1.0e+00 |
 31400 | 8.98e-05 1.57e-04 |  2.3230e+00  2.3300e+00 1.23e-03 | 735.7 | 1.7e+00 |
 31500 | 1.70e-04 1.13e-04 |  2.3230e+00  2.3300e+00 1.24e-03 | 737.9 | 2.8e+00 |
 31600 | 1.98e-04 6.73e-05 |  2.3230e+00  2.3297e+00 1.19e-03 | 740.0 | 1.7e+00 |
 31700 | 1.77e-04 7.72e-05 |  2.3230e+00  2.3293e+00 1.11e-03 | 742.2 | 1.0e+00 |
 31800 | 1.43e-04 1.38e-04 |  2.3231e+00  2.3297e+00 1.17e-03 | 744.4 | 6.0e-01 |
 31900 | 1.09e-04 2.01e-04 |  2.3231e+00  2.3291e+00 1.07e-03 | 746.6 | 6.0e-01 |
 32000 | 8.38e-05 1.96e-04 |  2.3231e+00  2.3293e+00 1.09e-03 | 748.7 | 1.0e+00 |
 32100 | 1.21e-04 1.52e-04 |  2.3232e+00  2.3294e+00 1.09e-03 | 750.9 | 1.7e+00 |
 32200 | 1.70e-04 9.88e-05 |  2.3232e+00  2.3295e+00 1.11e-03 | 753.1 | 1.7e+00 |
 32300 | 1.61e-04 5.91e-05 |  2.3232e+00  2.3296e+00 1.12e-03 | 755.3 | 1.0e+00 |
 32400 | 1.38e-04 9.10e-05 |  2.3232e+00  2.3296e+00 1.13e-03 | 757.4 | 6.0e-01 |
 32500 | 1.11e-04 1.71e-04 |  2.3232e+00  2.3297e+00 1.14e-03 | 759.6 | 3.6e-01 |
 32600 | 8.32e-05 2.06e-04 |  2.3232e+00  2.3297e+00 1.14e-03 | 761.8 | 6.0e-01 |
 32700 | 6.87e-05 1.97e-04 |  2.3232e+00  2.3297e+00 1.16e-03 | 764.0 | 1.0e+00 |
 32800 | 1.15e-04 1.58e-04 |  2.3231e+00  2.3298e+00 1.17e-03 | 766.1 | 1.7e+00 |
 32900 | 2.23e-04 8.58e-05 |  2.3231e+00  2.3294e+00 1.13e-03 | 768.3 | 2.8e+00 |
 33000 | 2.02e-04 7.38e-05 |  2.3231e+00  2.3290e+00 1.04e-03 | 770.5 | 1.7e+00 |
 33100 | 1.82e-04 7.32e-05 |  2.3232e+00  2.3294e+00 1.10e-03 | 772.7 | 1.0e+00 |
 33200 | 1.48e-04 1.35e-04 |  2.3232e+00  2.3294e+00 1.11e-03 | 774.8 | 6.0e-01 |
 33300 | 1.12e-04 2.03e-04 |  2.3232e+00  2.3291e+00 1.04e-03 | 777.0 | 6.0e-01 |
 33400 | 8.50e-05 2.00e-04 |  2.3232e+00  2.3293e+00 1.08e-03 | 779.2 | 1.0e+00 |
 33500 | 1.20e-04 1.57e-04 |  2.3232e+00  2.3293e+00 1.08e-03 | 781.3 | 1.7e+00 |
 33600 | 1.85e-04 1.02e-04 |  2.3232e+00  2.3294e+00 1.10e-03 | 783.5 | 2.1e+00 |
 33700 | 1.84e-04 5.96e-05 |  2.3232e+00  2.3294e+00 1.09e-03 | 785.7 | 1.3e+00 |
 33800 | 1.54e-04 9.23e-05 |  2.3232e+00  2.3293e+00 1.07e-03 | 787.9 | 7.7e-01 |
 33900 | 1.24e-04 1.51e-04 |  2.3232e+00  2.3294e+00 1.09e-03 | 790.0 | 4.6e-01 |
 34000 | 9.12e-05 1.78e-04 |  2.3232e+00  2.3296e+00 1.12e-03 | 792.2 | 7.7e-01 |
 34100 | 7.33e-05 1.66e-04 |  2.3232e+00  2.3296e+00 1.14e-03 | 794.4 | 1.3e+00 |
 34200 | 1.23e-04 1.31e-04 |  2.3231e+00  2.3297e+00 1.16e-03 | 796.6 | 2.1e+00 |
 34300 | 1.94e-04 7.55e-05 |  2.3231e+00  2.3295e+00 1.15e-03 | 798.7 | 2.1e+00 |
 34400 | 1.80e-04 7.25e-05 |  2.3231e+00  2.3291e+00 1.07e-03 | 800.9 | 1.3e+00 |
 34500 | 1.53e-04 9.68e-05 |  2.3231e+00  2.3294e+00 1.11e-03 | 803.1 | 7.7e-01 |
 34600 | 1.20e-04 1.76e-04 |  2.3231e+00  2.3294e+00 1.11e-03 | 805.3 | 4.6e-01 |
 34700 | 8.71e-05 2.00e-04 |  2.3231e+00  2.3291e+00 1.05e-03 | 807.4 | 7.7e-01 |
 34800 | 9.20e-05 1.69e-04 |  2.3232e+00  2.3291e+00 1.05e-03 | 809.6 | 1.3e+00 |
 34900 | 1.52e-04 1.21e-04 |  2.3232e+00  2.3291e+00 1.04e-03 | 811.8 | 2.1e+00 |
 35000 | 1.64e-04 6.98e-05 |  2.3233e+00  2.3293e+00 1.06e-03 | 814.0 | 1.3e+00 |
 35100 | 1.45e-04 6.46e-05 |  2.3233e+00  2.3292e+00 1.05e-03 | 816.1 | 7.7e-01 |
 35200 | 1.18e-04 1.30e-04 |  2.3232e+00  2.3291e+00 1.04e-03 | 818.3 | 4.6e-01 |
 35300 | 9.09e-05 1.77e-04 |  2.3232e+00  2.3291e+00 1.05e-03 | 820.5 | 6.0e-01 |
 35400 | 7.06e-05 1.76e-04 |  2.3232e+00  2.3293e+00 1.07e-03 | 822.6 | 1.0e+00 |
 35500 | 1.01e-04 1.45e-04 |  2.3232e+00  2.3294e+00 1.09e-03 | 824.8 | 1.7e+00 |
 35600 | 1.57e-04 1.00e-04 |  2.3231e+00  2.3295e+00 1.12e-03 | 827.0 | 1.7e+00 |
 35700 | 1.63e-04 6.27e-05 |  2.3231e+00  2.3295e+00 1.12e-03 | 829.2 | 1.0e+00 |
 35800 | 1.41e-04 1.20e-04 |  2.3231e+00  2.3294e+00 1.10e-03 | 831.3 | 6.0e-01 |
 35900 | 1.08e-04 1.97e-04 |  2.3231e+00  2.3293e+00 1.09e-03 | 833.5 | 6.0e-01 |
 36000 | 8.88e-05 1.77e-04 |  2.3232e+00  2.3286e+00 9.61e-04 | 835.7 | 1.0e+00 |
 36100 | 1.09e-04 1.38e-04 |  2.3232e+00  2.3289e+00 9.93e-04 | 837.9 | 1.7e+00 |
 36200 | 1.51e-04 8.90e-05 |  2.3233e+00  2.3290e+00 9.98e-04 | 840.0 | 1.7e+00 |
 36300 | 1.40e-04 5.32e-05 |  2.3233e+00  2.3290e+00 1.00e-03 | 842.2 | 1.0e+00 |
 36400 | 1.19e-04 8.04e-05 |  2.3233e+00  2.3290e+00 1.01e-03 | 844.4 | 6.0e-01 |
 36500 | 9.60e-05 1.49e-04 |  2.3233e+00  2.3290e+00 1.00e-03 | 846.6 | 3.6e-01 |
 36600 | 7.27e-05 1.82e-04 |  2.3232e+00  2.3290e+00 1.02e-03 | 848.7 | 6.0e-01 |
 36700 | 6.19e-05 1.73e-04 |  2.3232e+00  2.3292e+00 1.06e-03 | 850.9 | 1.0e+00 |
 36800 | 1.07e-04 1.39e-04 |  2.3232e+00  2.3293e+00 1.07e-03 | 853.1 | 1.7e+00 |
 36900 | 1.92e-04 8.35e-05 |  2.3232e+00  2.3289e+00 1.01e-03 | 855.3 | 2.1e+00 |
 37000 | 1.76e-04 6.85e-05 |  2.3232e+00  2.3289e+00 1.01e-03 | 857.4 | 1.3e+00 |
 37100 | 1.49e-04 9.83e-05 |  2.3232e+00  2.3291e+00 1.05e-03 | 859.6 | 7.7e-01 |
 37200 | 1.16e-04 1.72e-04 |  2.3232e+00  2.3295e+00 1.11e-03 | 861.8 | 6.0e-01 |
 37300 | 8.67e-05 1.74e-04 |  2.3232e+00  2.3289e+00 1.00e-03 | 863.9 | 1.0e+00 |
 37400 | 9.39e-05 1.27e-04 |  2.3233e+00  2.3289e+00 9.89e-04 | 866.1 | 1.7e+00 |
 37500 | 1.28e-04 8.66e-05 |  2.3234e+00  2.3288e+00 9.72e-04 | 868.3 | 1.7e+00 |
 37600 | 1.20e-04 5.30e-05 |  2.3234e+00  2.3289e+00 9.83e-04 | 870.5 | 1.0e+00 |
 37700 | 1.01e-04 6.72e-05 |  2.3233e+00  2.3289e+00 9.80e-04 | 872.6 | 6.0e-01 |
 37800 | 8.37e-05 1.19e-04 |  2.3233e+00  2.3288e+00 9.78e-04 | 874.8 | 3.6e-01 |
 37900 | 6.66e-05 1.45e-04 |  2.3233e+00  2.3290e+00 1.01e-03 | 877.0 | 6.0e-01 |
 38000 | 5.73e-05 1.39e-04 |  2.3233e+00  2.3291e+00 1.03e-03 | 879.2 | 1.0e+00 |
 38100 | 8.80e-05 1.13e-04 |  2.3232e+00  2.3291e+00 1.04e-03 | 881.3 | 1.7e+00 |
 38200 | 1.41e-04 7.85e-05 |  2.3232e+00  2.3292e+00 1.06e-03 | 883.5 | 2.1e+00 |
 38300 | 1.52e-04 4.95e-05 |  2.3232e+00  2.3292e+00 1.06e-03 | 885.7 | 1.3e+00 |
 38400 | 1.33e-04 8.97e-05 |  2.3232e+00  2.3292e+00 1.06e-03 | 887.9 | 7.7e-01 |
 38500 | 1.04e-04 1.58e-04 |  2.3232e+00  2.3291e+00 1.05e-03 | 890.0 | 6.0e-01 |
 38600 | 7.94e-05 1.63e-04 |  2.3233e+00  2.3289e+00 1.00e-03 | 892.2 | 1.0e+00 |
 38700 | 9.17e-05 1.23e-04 |  2.3233e+00  2.3287e+00 9.48e-04 | 894.4 | 1.7e+00 |
 38800 | 1.27e-04 8.30e-05 |  2.3234e+00  2.3287e+00 9.39e-04 | 896.5 | 1.7e+00 |
 38900 | 1.19e-04 5.10e-05 |  2.3234e+00  2.3287e+00 9.33e-04 | 898.7 | 1.0e+00 |
 39000 | 1.01e-04 6.86e-05 |  2.3234e+00  2.3287e+00 9.29e-04 | 900.9 | 6.0e-01 |
 39100 | 8.29e-05 1.24e-04 |  2.3234e+00  2.3285e+00 9.13e-04 | 903.1 | 3.6e-01 |
 39200 | 6.44e-05 1.52e-04 |  2.3233e+00  2.3287e+00 9.45e-04 | 905.2 | 6.0e-01 |
 39300 | 5.69e-05 1.45e-04 |  2.3233e+00  2.3289e+00 9.87e-04 | 907.4 | 1.0e+00 |
